Time_Index,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9
105,0.4,0.301,0.509,0.383,0.587,0.6,0.483,0.515,0.351,0.262,0.648,0.888,0.521,0.669,0.46,0.576,0.431,0.628,0.441,0.082,0.204,0.278,0.184,0.156,0.151,0.265,0.134,0.123,0.154,0.323
106,0.382,0.292,0.467,0.362,0.627,0.574,0.548,0.498,0.377,0.229,0.448,0.728,0.43,0.456,0.468,0.417,0.411,0.391,0.464,0.027,0.167,0.294,0.188,0.155,0.15,0.189,0.138,0.086,0.168,0.237
107,0.322,0.237,0.422,0.312,0.624,0.503,0.467,0.497,0.237,0.182,0.471,0.678,0.5,0.447,0.557,0.417,0.528,0.308,0.519,0.043,0.14,0.347,0.179,0.146,0.142,0.118,0.128,0.062,0.152,0.157
108,0.28,0.219,0.347,0.275,0.597,0.49,0.415,0.52,0.14,0.194,0.49,0.512,0.52,0.337,0.569,0.362,0.445,0.307,0.467,0.04,0.161,0.332,0.185,0.136,0.133,0.157,0.117,0.075,0.129,0.179
109,0.242,0.206,0.316,0.247,0.518,0.459,0.342,0.532,0.14,0.242,0.443,0.485,0.548,0.325,0.639,0.375,0.426,0.438,0.386,0.189,0.182,0.276,0.164,0.11,0.114,0.22,0.096,0.076,0.106,0.236
110,0.206,0.194,0.257,0.238,0.439,0.426,0.32,0.571,0.151,0.243,0.348,0.429,0.515,0.305,0.668,0.378,0.417,0.525,0.337,0.329,0.134,0.213,0.123,0.114,0.101,0.186,0.089,0.033,0.078,0.225
111,0.174,0.19,0.218,0.219,0.357,0.423,0.281,0.589,0.143,0.289,0.327,0.238,0.459,0.24,0.485,0.346,0.275,0.51,0.31,0.632,0.129,0.197,0.118,0.139,0.108,0.149,0.105,0.026,0.084,0.165
112,0.165,0.189,0.203,0.224,0.378,0.403,0.31,0.619,0.16,0.316,0.342,0.136,0.445,0.218,0.495,0.357,0.28,0.534,0.318,0.542,0.173,0.199,0.109,0.137,0.086,0.149,0.085,0.026,0.083,0.158
113,0.179,0.227,0.196,0.266,0.413,0.412,0.329,0.675,0.185,0.339,0.265,0.122,0.419,0.199,0.515,0.331,0.272,0.408,0.307,0.547,0.154,0.209,0.114,0.137,0.108,0.119,0.105,0.027,0.078,0.181
114,0.162,0.225,0.205,0.266,0.5,0.466,0.452,0.753,0.283,0.328,0.21,0.086,0.314,0.137,0.418,0.247,0.23,0.272,0.254,0.624,0.148,0.217,0.159,0.174,0.134,0.07,0.107,0.011,0.076,0.146
115,0.271,0.312,0.294,0.35,0.557,0.522,0.532,0.77,0.337,0.285,0.166,0.085,0.196,0.132,0.346,0.247,0.231,0.337,0.227,0.372,0.134,0.232,0.152,0.166,0.133,0.06,0.107,0.014,0.079,0.114
116,0.886,0.923,0.892,0.858,0.822,0.805,0.568,0.6,0.22,0.929,0.747,0.723,0.633,0.691,0.496,0.489,0.366,0.284,0.52,0.704,0.842,0.844,0.4,0.354,0.219,0.911,0.177,0.858,0.17,0.948
117,0.925,0.956,0.899,0.884,0.853,0.751,0.65,0.6,0.397,0.98,0.799,0.784,0.688,0.745,0.547,0.606,0.408,0.494,0.625,1.0,0.8,0.817,0.403,0.355,0.28,0.882,0.239,0.841,0.224,0.948
118,0.956,0.972,0.914,0.92,0.871,0.79,0.703,0.63,0.478,0.976,0.818,0.701,0.753,0.712,0.641,0.656,0.483,0.694,0.624,1.0,0.816,0.789,0.494,0.436,0.364,0.912,0.293,0.874,0.276,0.961
119,0.965,0.981,0.923,0.935,0.871,0.781,0.706,0.594,0.549,0.975,0.803,0.69,0.74,0.726,0.681,0.664,0.529,0.742,0.618,1.0,0.814,0.814,0.538,0.47,0.394,0.944,0.331,0.897,0.315,0.974
120,0.962,0.98,0.937,0.943,0.874,0.781,0.686,0.573,0.571,0.975,0.808,0.754,0.732,0.785,0.602,0.713,0.477,0.727,0.616,1.0,0.845,0.755,0.551,0.491,0.405,0.94,0.362,0.874,0.332,0.974
