Resource,Zone,Resource_Type,Cluster,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
EIC_offshorewind_class3_moderate_fixed_0_11,1,OffShoreWind_Class3_Moderate_fixed_0,11,0.0,0.0,0.0038859507937213855,0.0038859507937213855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_18,1,OffShoreWind_Class3_Moderate_fixed_0,18,0.0,0.0,0.00445771925124842,0.00445771925124842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_19,1,OffShoreWind_Class3_Moderate_fixed_0,19,0.0,0.0,0.0022757099089722155,0.0022757099089722155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_28,1,OffShoreWind_Class3_Moderate_fixed_0,28,0.0,0.0,0.0019747054272770247,0.0019747054272770247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_29,1,OffShoreWind_Class3_Moderate_fixed_0,29,0.0,0.0,0.004535111137762315,0.004535111137762315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_0,1,OffShoreWind_Class12_Moderate_floating_1,0,0.0,0.0,0.005435330166775442,0.005435330166775442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_1,1,OffShoreWind_Class12_Moderate_floating_1,1,0.0,0.0,0.005443849880869674,0.005443849880869674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_6,1,OffShoreWind_Class12_Moderate_floating_1,6,0.0,0.0,0.004840760230757959,0.004840760230757959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_7,1,OffShoreWind_Class12_Moderate_floating_1,7,0.0,0.0,0.005041628074890697,0.005041628074890697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_18,1,OffShoreWind_Class12_Moderate_floating_1,18,0.0,0.0,0.004892854539819785,0.004892854539819785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_19,1,OffShoreWind_Class12_Moderate_floating_1,19,0.0,0.0,0.0031380548034483095,0.0031380548034483095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_38,1,OffShoreWind_Class12_Moderate_floating_1,38,0.0,0.0,0.0033632411442838166,0.0033632411442838166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_39,1,OffShoreWind_Class12_Moderate_floating_1,39,0.0,0.0,0.002009439091027004,0.002009439091027004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_68,1,OffShoreWind_Class12_Moderate_floating_1,68,0.0,0.0,0.0017354504312702885,0.0017354504312702885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_1_69,1,OffShoreWind_Class12_Moderate_floating_1,69,0.0,0.0,0.0033963842605641303,0.0033963842605641303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_0_0,1,OffShoreWind_Class12_Moderate_floating_0,0,0.0,0.0,0.005435330166775442,0.005435330166775442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_0_1,1,OffShoreWind_Class12_Moderate_floating_0,1,0.0,0.0,0.005443849880869674,0.005443849880869674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_0_8,1,OffShoreWind_Class12_Moderate_floating_0,8,0.0,0.0,0.004840760230757959,0.004840760230757959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class12_moderate_floating_0_9,1,OffShoreWind_Class12_Moderate_floating_0,9,0.0,0.0,0.005041628074890697,0.005041628074890697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
