Resource,Zone,Resource_Type,Cluster,StartCapSolar,RetCapSolar,NewCapSolar,EndCapSolar,StartCapWind,RetCapWind,NewCapWind,EndCapWind,StartCapDC,RetCapDC,NewCapDC,EndCapDC,StartCapGrid,RetCapGrid,NewCapGrid,EndCapGrid,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeDCCap,RetChargeDCCap,NewChargeDCCap,EndChargeDCCap,StartChargeACCap,RetChargeACCap,NewChargeACCap,EndChargeACCap,StartDischargeDCCap,RetDischargeDCCap,NewDischargeDCCap,EndDischargeDCCap,StartDischargeACCap,RetDischargeACCap,NewDischargeACCap,EndDischargeACCap
TRE_landbasedwind_class1_moderate_8,2,LandbasedWind_Class1_Moderate_,8,0,0.0,0.0,0.0,0,0.0,1.1277106745516967,1.1277106745516967,0,0.0,1.211136232187129,1.211136232187129,0.0,0.0,0.8459321462386765,0.8459321462386765,0.0,0.0,81.44199073777077,81.44199073777077,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_9,2,LandbasedWind_Class1_Moderate_,9,0,0.0,0.0,0.0,0,0.0,0.3599347573432784,0.3599347573432784,0,0.0,1.1684987426631457,1.1684987426631457,0.0,0.0,0.3320315303474002,0.3320315303474002,0.0,0.0,67.36863363996122,67.36863363996122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_0,2,UtilityPV_Class1_Moderate_,0,0,0.0,15827.57464534668,15827.57464534668,0,0.0,0.0,0.0,0,0.0,9994.748849233689,9994.748849233689,0.0,0.0,9994.79095331068,9994.79095331068,0.0,0.0,86.61518882893759,86.61518882893759,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_1,2,UtilityPV_Class1_Moderate_,1,0,0.0,71924.88488864427,71924.88488864427,0,0.0,0.0,0.0,0,0.0,46738.59208392732,46738.59208392732,0.0,0.0,46738.60540258967,46738.60540258967,0.0,0.0,86.36306915354376,86.36306915354376,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_2,2,UtilityPV_Class1_Moderate_,2,0,0.0,15.30908872235177,15.30908872235177,0,0.0,0.0,0.0,0,0.0,9.835694581829436,9.835694581829436,0.0,0.0,9.843762747423769,9.843762747423769,0.0,0.0,85.5194990132789,85.5194990132789,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_3,2,UtilityPV_Class1_Moderate_,3,0,0.0,21.953768937661017,21.953768937661017,0,0.0,0.0,0.0,0,0.0,14.480174863456666,14.480174863456666,0.0,0.0,14.441749146803769,14.441749146803769,0.0,0.0,85.35315485440181,85.35315485440181,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_4,2,UtilityPV_Class1_Moderate_,4,0,0.0,8.481378240458826,8.481378240458826,0,0.0,0.0,0.0,0,0.0,5.573284427449248,5.573284427449248,0.0,0.0,5.536952949333066,5.536952949333066,0.0,0.0,84.91204722424426,84.91204722424426,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_5,2,UtilityPV_Class1_Moderate_,5,0,0.0,34.42755442317201,34.42755442317201,0,0.0,0.0,0.0,0,0.0,23.09807733381167,23.09807733381167,0.0,0.0,23.015727978157763,23.015727978157763,0.0,0.0,84.51828131863945,84.51828131863945,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_6,2,UtilityPV_Class1_Moderate_,6,0,0.0,11.215847787989563,11.215847787989563,0,0.0,0.0,0.0,0,0.0,7.66156566206257,7.66156566206257,0.0,0.0,7.539911129958762,7.539911129958762,0.0,0.0,83.74957115656187,83.74957115656187,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_7,2,UtilityPV_Class1_Moderate_,7,0,0.0,4.327200224752771,4.327200224752771,0,0.0,0.0,0.0,0,0.0,2.953889117480727,2.953889117480727,0.0,0.0,2.86769547762605,2.86769547762605,0.0,0.0,84.64333438646915,84.64333438646915,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_8,2,UtilityPV_Class1_Moderate_,8,0,0.0,0.8638225613718236,0.8638225613718236,0,0.0,0.0,0.0,0,0.0,1.375740655573157,1.375740655573157,0.0,0.0,0.5489475789448134,0.5489475789448134,0.0,0.0,76.98501682466534,76.98501682466534,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_9,2,UtilityPV_Class1_Moderate_,9,0,0.0,2.072088358094435,2.072088358094435,0,0.0,0.0,0.0,0,0.0,1.80341425887534,1.80341425887534,0.0,0.0,1.4591201127893527,1.4591201127893527,0.0,0.0,83.05666679084791,83.05666679084791,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
